,eta,n_steps,class0,class1,class2,train_loss,train_error,val_loss,val_error
0,0.05,30,5992,14,1314,0.7741,0.2623,0.7717,0.261
1,0.05,75,6737,0,583,0.6367,0.2393,0.6331,0.2389
2,0.05,100,6828,0,492,0.6059,0.2383,0.6018,0.2381
